Timestamp,BidPrice,BidSize,AskPrice,AskSize,LastPrice,MarkPrice,Volume,ImpliedVol,Delta,Gamma,Vega,Theta,UnderlyingPrice,PriceOfSale,QuantityOfSale,TotalVol,VWAP,FilledBySingleMM
1723491627633,,,,,0.300000,,31083.000000,,,,,,,,,,,
1723491627634,0.250000,18.000000,0.300000,490.000000,,,,,,,,,,,,,,
1723491627702,,,,,,,,,,,,,,,,,,
1723491627703,,,,,,0.300000,,,,,,,,,,,,
1723491627913,,,,,,,,0.351498,0.050365,0.009069,0.033757,-0.300000,5336.170000,,,,,
1723491628238,,,,494.000000,,,,,,,,,,,,,,
1723491628501,,,,,,,,,,,,,,0.250000,2.000000,31091.000000,6.731000,YES
1723491629172,,16.000000,,498.000000,,,,,,,,,,,,,,
1723491630176,,17.000000,,502.000000,,,,,,,,,,,,,,
1723491631176,,,,314.000000,,,,,,,,,,,,,,
1723491632169,,,,312.000000,,,,,,,,,,,,,,
1723491632421,,,,,,,,0.351498,0.050003,0.009017,0.033564,-0.300000,5336.130000,,,,,
1723491633181,,,,329.000000,,,,,,,,,,,,,,
1723491633774,,,,,,0.250000,,,,,,,,,,,,
1723491634232,,,,,,,,0.351498,0.049465,0.008940,0.033275,-0.300000,5336.070000,,,,,
1723491635179,,,,325.000000,,,,,,,,,,,,,,
1723491635507,,,,,,,,,,,,,,0.250000,2.000000,31093.000000,6.731000,YES
1723491635780,,,,,0.250000,,31085.000000,,,,,,,,,,,
1723491636103,,,,,,,,,,,,,,0.300000,3.000000,31096.000000,6.730000,YES
1723491636179,,221.000000,,36.000000,,,,,,,,,,,,,,
1723491636305,,,,,,,,,,,,,,0.300000,10.000000,31106.000000,6.728000,
1723491636432,,,,,,,,0.358978,0.055250,0.009557,0.036331,-0.250000,5336.300000,,,,,
1723491637178,,184.000000,,53.000000,,,,,,,,,,,,,,
1723491638158,,143.000000,,220.000000,,,,,,,,,,,,,,
1723491638310,,,,,,,,0.358978,0.055826,0.009635,0.036630,-0.250000,5336.360000,,,,,
1723491639182,,75.000000,,222.000000,,,,,,,,,,,,,,
1723491639205,,,,,,,,,,,,,,0.300000,1.000000,31107.000000,6.728000,YES
1723491640181,,18.000000,,293.000000,,,,,,,,,,,,,,
1723491640381,,,,,,,,0.358978,0.054018,0.009388,0.035688,-0.250000,5336.170000,,,,,
1723491641183,,157.000000,,85.000000,,,,,,,,,,,,,,
1723491642182,,152.000000,,118.000000,,,,,,,,,,,,,,
1723491642437,,,,,,,,0.358978,0.055059,0.009531,0.036231,-0.250000,5336.280000,,,,,
1723491643183,,160.000000,,83.000000,,,,,,,,,,,,,,
1723491644191,,161.000000,,90.000000,,,,,,,,,,,,,,
1723491644290,,,,,,,,0.358978,0.055922,0.009648,0.036680,-0.250000,5336.370000,,,,,
1723491645188,,203.000000,,55.000000,,,,,,,,,,,,,,
1723491646194,,19.000000,,237.000000,,,,,,,,,,,,,,
1723491646294,,,,,,,,0.358978,0.055345,0.009570,0.036380,-0.250000,5336.310000,,,,,
1723491647193,,,,421.000000,,,,,,,,,,,,,,
1723491647520,,,,,,,,,,,,,,0.300000,1.000000,31108.000000,6.727000,YES
1723491647798,,,,,,,31086.000000,,,,,,,,,,,
1723491647799,,,,,0.300000,,,,,,,,,,,,,
1723491648192,,,,380.000000,,,,,,,,,,,,,,
1723491648299,,,,,,,,0.372912,0.060049,0.009823,0.038789,-0.300000,5336.080000,,,,,
1723491648615,,,,,,,,,,,,,,0.250000,10.000000,31118.000000,6.725000,
1723491649120,,,,,,,,,,,,,,0.250000,1.000000,31119.000000,6.725000,YES
1723491649199,,,,383.000000,,,,,,,,,,,,,,
1723491649400,,,,,0.250000,,31087.000000,,,,,,,,,,,
1723491650101,,,,,,,31119.000000,,,,,,,,,,,
1723491650196,,18.000000,,384.000000,,,,,,,,,,,,,,
1723491650304,,,,,,,,0.358978,0.054112,0.009401,0.035737,-0.250000,5336.180000,,,,,
1723491650925,,,,,,,,,,,,,,0.250000,1.000000,31120.000000,6.725000,YES
1723491651126,,,,,,,,,,,,,,0.250000,1.000000,31121.000000,6.725000,YES
1723491651205,,16.000000,,390.000000,,,,,,,,,,,,,,
1723491651225,,,,,,,,,,,,,,0.250000,1.000000,31122.000000,6.725000,YES
1723491651321,,,,,,,,,,,,,,0.250000,1.000000,31123.000000,6.724000,YES
1723491652211,,150.000000,,94.000000,,,,,,,,,,,,,,
1723491652338,,,,,,,,0.358978,0.056309,0.009701,0.036880,-0.250000,5336.410000,,,,,
1723491653207,,114.000000,,204.000000,,,,,,,,,,,,,,
1723491654188,,144.000000,,192.000000,,,,,,,,,,,,,,
1723491654388,,,,,,,,0.358978,0.055922,0.009648,0.036680,-0.250000,5336.370000,,,,,
1723491655184,,87.000000,,244.000000,,,,,,,,,,,,,,
1723491655706,,,,,,,,,,,,,,0.250000,1.000000,31124.000000,6.724000,YES
1723491655900,,,,,,,,,,,,,,0.250000,2.000000,31126.000000,6.724000,YES
1723491655991,,,,,,,31120.000000,,,,,,,,,,,
1723491656189,,42.000000,,200.000000,,,,,,,,,,,,,,
1723491656391,,,,,,,,0.358978,0.056601,0.009740,0.037031,-0.250000,5336.440000,,,,,
1723491656906,,,,,,,,,,,,,,0.250000,1.000000,31127.000000,6.724000,YES
1723491656989,,,,,,,31122.000000,,,,,,,,,,,
1723491657190,,12.000000,,198.000000,,,,,,,,,,,,,,
1723491657808,,,,,,,,,,,,,,0.250000,1.000000,31128.000000,6.723000,YES
1723491657989,,,,,,,31123.000000,,,,,,,,,,,
1723491658188,,36.000000,,245.000000,,,,,,,,,,,,,,
1723491658442,,,,,,,,0.358978,0.056018,0.009661,0.036730,-0.250000,5336.380000,,,,,
1723491658906,,,,,,,,,,,,,,0.250000,2.000000,31130.000000,6.723000,YES
1723491658991,,,,,,,31124.000000,,,,,,,,,,,
1723491659196,,11.000000,,240.000000,,,,,,,,,,,,,,
1723491659994,,,,,,,31126.000000,,,,,,,,,,,
1723491660109,,,,,,,,,,,,,,0.250000,1.000000,31131.000000,6.723000,YES
1723491660194,,181.000000,,96.000000,,,,,,,,,,,,,,
1723491660352,,,,,,,,0.358978,0.056698,0.009753,0.037081,-0.250000,5336.450000,,,,,
1723491660709,,,,,,,,,,,,,,0.300000,27.000000,31158.000000,6.717000,
1723491660999,,,,,0.300000,,31131.000000,,,,,,,,,,,
1723491661195,,224.000000,,62.000000,,,,,,,,,,,,,,
1723491661210,,,,,,,,,,,,,,0.300000,1.000000,31159.000000,6.717000,YES
1723491661395,,,,,,0.297515,,,,,,,,,,,,
1723491661795,,,0.350000,387.000000,,,,,,,,,,,,,,
1723491662001,,225.000000,0.300000,33.000000,,,31132.000000,,,,,,,,,,,
1723491662302,,,,,,,,0.372912,0.067776,0.010791,0.042624,-0.300000,5336.830000,,,,,
1723491662597,,,0.350000,388.000000,,,,,,,,,,,,,,
1723491662711,,,0.300000,26.000000,,,,,,,,,,,,,,
1723491662799,,,0.350000,401.000000,,,,,,,,,,,,,,
1723491663000,,,0.300000,26.000000,,,,,,,,,,,,,,
1723491663319,,,,,,,,,,,,,,0.250000,2.000000,31161.000000,6.717000,YES
1723491663404,,,,27.000000,,,,,,,,,,,,,,
1723491663507,,,0.350000,406.000000,,,,,,,,,,,,,,
1723491663605,,,,,,,31134.000000,,,,,,,,,,,
1723491663606,,223.000000,0.300000,31.000000,0.250000,,,,,,,,,,,,,
1723491663705,,,0.350000,401.000000,,,,,,,,,,,,,,
1723491664208,,144.000000,0.300000,25.000000,,,,,,,,,,,,,,
1723491664311,,,,,,,,0.358978,0.060809,0.010303,0.039178,-0.250000,5336.860000,,,,,
1723491665206,,145.000000,,133.000000,,,,,,,,,,,,,,
1723491665928,,,,,,,,,,,,,,0.300000,4.000000,31165.000000,6.716000,YES
1723491666216,,,,,0.300000,,31138.000000,,,,,,,,,,,
1723491666218,,250.000000,0.350000,382.000000,,,,,,,,,,,,,,
1723491666405,,,,,,,,0.372912,0.068100,0.010831,0.042782,-0.300000,5336.860000,,,,,
1723491666721,,,,,,,,,,,,,,0.300000,1.000000,31166.000000,6.715000,YES
1723491666824,,,,,,,,,,,,,,0.250000,1.000000,31167.000000,6.715000,YES
1723491667112,,,,,0.250000,,31139.000000,,,,,,,,,,,
1723491667216,,393.000000,,387.000000,,,,,,,,,,,,,,
1723491667815,0.300000,25.000000,,238.000000,,,,,,,,,,,,,,
1723491668413,,,,,,,,0.372912,0.075191,0.011685,0.046165,-0.250000,5337.490000,,,,,
1723491668513,,,,,,0.300000,,,,,,,,,,,,
1723491668815,,94.000000,,10.000000,,,,,,,,,,,,,,
1723491668912,,,,,,0.350000,,,,,,,,,,,,
1723491669779,,98.000000,,58.000000,,,,,,,,,,,,,,
1723491669995,,,,,,,,,,,,,,0.300000,2.000000,31169.000000,6.715000,YES
1723491670284,,,,,0.300000,,31141.000000,,,,,,,,,,,
1723491670286,0.250000,349.000000,,261.000000,,,,,,,,,,,,,,
1723491670450,,,,,,,,0.372912,0.075659,0.011740,0.046385,-0.300000,5337.530000,,,,,
1723491670502,,,,,,,,,,,,,,0.300000,1.000000,31170.000000,6.715000,YES
1723491670790,,,,,,0.300000,,,,,,,,,,,,
1723491670791,0.300000,5.000000,,341.000000,,,,,,,,,,,,,,
1723491671285,,,,,,,31142.000000,,,,,,,,,,,
1723491671783,,,,,,0.350000,,,,,,,,,,,,
1723491671784,,,,388.000000,,,,,,,,,,,,,,
1723491672290,0.250000,279.000000,,,,,,0.372912,0.074841,0.011643,0.046001,-0.300000,5337.460000,,,,,
1723491672486,,185.000000,,,,,,,,,,,,,,,,
1723491672600,,145.000000,0.300000,4.000000,,,,,,,,,,,,,,
1723491672890,,,,,,0.300000,,,,,,,,,,,,
1723491673589,,131.000000,,86.000000,,,,,,,,,,,,,,
1723491674296,,148.000000,,25.000000,,0.350000,,,,,,,,,,,,
1723491674447,,,,,,,,0.372912,0.070182,0.011085,0.043788,-0.300000,5337.050000,,,,,
1723491675291,,133.000000,,53.000000,,,,,,,,,,,,,,
1723491675390,,,,,,0.300000,,,,,,,,,,,,
1723491676298,,,,125.000000,,,,,,,,,,,,,,
1723491676392,,,,,,,,0.372912,0.067992,0.010817,0.042729,-0.300000,5336.850000,,,,,
1723491677295,,132.000000,,128.000000,,,,,,,,,,,,,,
1723491678286,,,,,,,,0.372912,0.067884,0.010804,0.042677,-0.300000,5336.840000,,,,,
1723491678296,,138.000000,,98.000000,,,,,,,,,,,,,,
1723491679199,,,,,,,31143.000000,,,,,,,,,,,
1723491679201,,,,,,,,,,,,,,0.300000,1.000000,31171.000000,6.714000,YES
1723491679302,,61.000000,,222.000000,,,,,,,,,,,,,,
1723491680105,,,,,,,31171.000000,,,,,,,,,,,
1723491680303,,9.000000,,301.000000,,,,,,,,,,,,,,
1723491680406,,,,,,,,0.372912,0.064183,0.010346,0.040860,-0.300000,5336.490000,,,,,
1723491681302,,37.000000,,279.000000,,,,,,,,,,,,,,
1723491682309,,104.000000,,205.000000,,,,,,,,,,,,,,
1723491682465,,,,,,,,0.372912,0.066172,0.010593,0.041841,-0.300000,5336.680000,,,,,
1723491683308,,10.000000,,351.000000,,,,,,,,,,,,,,
1723491683406,,,,,,,31172.000000,,,,,,,,,,,
1723491683408,,,,,,,,,,,,,,0.300000,1.000000,31172.000000,6.714000,YES
1723491684313,,11.000000,,285.000000,,,,,,,,,,,,,,
1723491684461,,,,,,,,0.372912,0.065434,0.010502,0.041478,-0.300000,5336.610000,,,,,
1723491685309,,,,366.000000,,,,,,,,,,,,,,
1723491686322,,8.000000,,291.000000,,,,,,,,,,,,,,
1723491686413,,,,,,,,,,,,,,0.250000,5.000000,31177.000000,6.713000,
1723491686414,,,,,,,,0.372912,0.064806,0.010423,0.041168,-0.300000,5336.550000,,,,,
1723491686415,,,,,,,31176.000000,,,,,,,,,,,
1723491686418,,,,,0.250000,,,,,,,,,,,,,
1723491687314,,3.000000,,292.000000,,,,,,,,,,,,,,
1723491687415,,,,,,,31177.000000,,,,,,,,,,,
1723491688319,,98.000000,,216.000000,,,,,,,,,,,,,,
1723491688468,,,,,,,,0.358978,0.052988,0.009491,0.034239,-0.250000,5336.550000,,,,,
1723491688821,,,,,,,,,,,,,,0.250000,1.000000,31178.000000,6.713000,YES
1723491688822,,,,,,,31178.000000,,,,,,,,,,,
1723491688915,,,,,,,,,,,,,,0.250000,1.000000,31179.000000,6.713000,YES
1723491689321,,129.000000,,156.000000,,,,,,,,,,,,,,
1723491689415,,,,,,,,,,,,,,0.250000,6.000000,31185.000000,6.712000,
1723491689817,,,,,,,31179.000000,,,,,,,,,,,
